,cell_line,drug,min_dose,max_dose,time,alpha,beta,gamma,delta,mape,auc,auc_norm
29,LN229,Drug14,-2.363612413940753,0.9995654886602768,120,0.988833437540491,9.221854753096473,1.0865990322026615,1.665053157685408e-05,0.0239559055083439,3.318810117038267,0.9979514665585116
30,LN229,Drug15,-2.363612413940753,0.9995654886602768,72,8.695164084349488e-05,7.810353789731425,-2.439779383731973,1.2541467335049543,0.1596348401129511,4.202126602777797,1.2494434405048185
31,LN229,Drug15,-2.363612413940753,0.9995654886602768,120,1.0062624683167114,10.625761283127131,1.119229598156498,0.0889679895093411,0.0270979610762812,3.38228517289519,0.9994224626684408
32,LN229,Drug16,-2.363612413940753,0.9995654886602768,72,2.7281553884667087,0.3910766236246042,-3.0362479944603,7.793450347981953e-13,0.2970200703496328,1.2403649284635527,0.3829179036620221
33,LN229,Drug16,-2.363612413940753,0.9995654886602768,120,1.1988220536808172,0.99180816445328,-1.68977881337296,0.063571597197788,0.1124889234076109,1.074360318922234,0.3200174966960912
34,LN229,Drug17,-2.363612413940753,0.9995654886602768,72,1.3974541694934282e-05,10.2863706617477,-2.3899253331959573,1.5362040021954515,0.079066885494454,5.138682364638905,1.5279239447567974
35,LN229,Drug17,-2.363612413940753,0.9995654886602768,120,0.9541647277079272,12.855446274395586,-0.3414711731623324,1.040414414022949,0.0468098023126035,3.324689719087773,1.0360433356522742
36,LN229,Drug18,-2.363612413940753,0.9995654886602768,72,0.7975278905695197,12.063496557041296,-0.3552248801035887,0.9175387677174364,0.0961870014810088,2.844817758778321,1.0606173560564425
37,LN229,Drug18,-2.363612413940753,0.9995654886602768,120,0.9267290201221626,14.119873374169776,0.3297130462424272,1.124122876591164,0.0392780701310805,3.248979319050115,1.0424238592543922
38,LN308,Drug00,-2.363612413940753,0.9995654886602768,72,1.3062421684130896e-05,9.731744186870795,-2.42446418057758,1.255741321202829,0.0655931823002774,4.210519813689766,1.2519465632079363
39,LN308,Drug00,-2.363612413940753,0.9995654886602768,120,1.0337469396237762,13.12056647338371,-0.9963740388356658,1.174817710700932,0.0505393466086195,3.758243592391352,1.0809879379474456
40,LN308,Drug01,-2.363612413940753,0.9995654886602768,72,1.062734997203163,8.881589079192452,-0.6940500443743425,0.5554719810427928,0.2119131729622859,2.7150583354112507,0.7596339070291411
41,LN308,Drug01,-2.363612413940753,0.9995654886602768,120,1.0621012779067471,10.871506148285162,1.0767609441900547,0.1484889210700467,0.0302732414162026,3.567100061577015,0.9986182985760635
42,LN308,Drug02,-2.363612413940753,0.9995654886602768,72,1.0430026886743728,11.886120613732997,0.3559276320183006,0.870899039649288,0.0358776954429596,3.3970311709836816,0.9684211441939382
43,LN308,Drug02,-2.363612413940753,0.9995654886602768,120,0.9323618713696196,1.9071877511738933,0.7338916288189168,1.3764595585612088e-20,0.0485822680005814,2.8304390317014647,0.902651267079392
44,LN308,Drug03,-2.363612413940753,0.9995654886602768,72,1.0010661808038417,0.512375918162854,1.6722010691804827,0.3308685882507514,0.0481967180741058,3.1596572043388376,0.9438440525552682
45,LN308,Drug03,-2.363612413940753,0.9995654886602768,120,0.9731476221928,1.3407158892677264,0.851640337654504,4.821541267374041e-10,0.0155031694319303,2.9742605336532923,0.9088070256261296
46,LN308,Drug04,-2.363612413940753,0.9995654886602768,72,1.1111773208806124,10.1830893503756,1.0492431714180692,5.522580967384166e-05,0.1258999957899794,3.7242194244207,0.9965567868778704
47,LN308,Drug04,-2.363612413940753,0.9995654886602768,120,1.1961370497143249,11.726348531460156,0.9549889605903608,0.091110187400207,0.0595450251744688,3.9628225809570887,0.9850853163060176
48,LN308,Drug05,-2.363612413940753,0.9995654886602768,72,1.0116588922029794,6.369531463602105,0.0554230500507538,1.158444713687125,0.1526504071202425,3.540975564372758,1.0407321855379728
49,LN308,Drug05,-2.363612413940753,0.9995654886602768,120,3.122358291109516,2.3055393588353525,-3.036247156754049,0.9402829562508368,0.0225620804644635,3.173742857205024,0.9436820582535034
50,LN308,Drug06,-2.363612413940753,0.9995654886602768,72,0.9267058319882212,10.1045181193526,0.4789192082000359,0.2053038329548409,0.0924378655311992,2.741081138795501,0.8794884780768182
51,LN308,Drug06,-2.363612413940753,0.9995654886602768,120,1.0101675313776488,9.876801952175578,0.4386999882421366,0.2187704968522823,0.0258681994703608,2.9535057251932684,0.86934982451019
52,LN308,Drug07,-2.363612413940753,0.9995654886602768,72,0.979346881518874,9.545834181401794,0.4402059665473266,0.2720696603087784,0.0223428229892393,2.898095395214815,0.8798857641103713
53,LN308,Drug07,-2.363612413940753,0.9995654886602768,120,0.99561563270873,10.439934325498424,0.350024712632739,0.1047793707380344,0.0156920188479072,2.769798012362544,0.8271924299382587
54,LN308,Drug08,-2.363612413940753,0.9995654886602768,72,1.000000000012753,15.708403758801314,-1.698554607135085,0.6908274540640812,0.0118493582409407,2.5289932433519,0.7519653484258738
55,LN308,Drug08,-2.363612413940753,0.9995654886602768,120,1.035029396847252,0.3130414666213354,1.6722010691801246,0.6308843839904028,0.0237833841953146,3.2417240742942,0.95045578845793
56,LN308,Drug09,-2.363612413940753,0.9995654886602768,72,1.162516536625611,6.232089785159244,0.0007914857249517,0.7006916338276681,0.2331049971351978,3.448491201370239,0.8820234709165905
57,LN308,Drug09,-2.363612413940753,0.9995654886602768,120,1.1164616015158075,9.666130389353505,1.0549647884280982,0.5726937105875345,0.0465473286031102,3.748611093569139,0.9983360510281531
58,LN308,Drug10,-2.363612413940753,0.9995654886602768,72,1.0179490830975375,0.6027473353383358,0.7197372072118303,2.8276885631616e-30,0.271743764177162,2.769072241118318,0.8200362369670172
59,LN308,Drug10,-2.363612413940753,0.9995654886602768,120,0.9310911351905748,3.881695197014418,0.8879502263080773,0.0098882165855529,0.0341172044783755,2.9962516792745832,0.956833248044352
60,LN308,Drug11,-2.363612413940753,0.9995654886602768,72,1.1335307150360368,14.564656836209355,0.2104409578212569,0.077139950975707,0.039268439171314,2.978641586656861,0.7813311070782882
61,LN308,Drug11,-2.363612413940753,0.9995654886602768,120,0.9986748557209076,2.2155561782072044,-0.1452300854035951,0.0858512675542851,0.0058881371035512,2.313207343998285,0.6887243444826636
62,LN308,Drug12,-2.363612413940753,0.9995654886602768,72,1.0179613746784235,12.516260131618068,0.2697666597830075,0.5717596799913623,0.0288227587763456,3.097947726782808,0.904884074700396
63,LN308,Drug12,-2.363612413940753,0.9995654886602768,120,0.9451942413034472,10.114339649329606,1.038008277102714,8.52800020289913e-06,0.0654779038804764,3.164955467915488,0.995627069482234
64,LN308,Drug13,-2.363612413940753,0.9995654886602768,72,0.8251438541070706,13.705761943977926,1.0039266179268445,0.1981703752231,0.2446681117283149,2.762655037135695,0.9955134898040504
65,LN308,Drug13,-2.363612413940753,0.9995654886602768,120,1.0176256002050976,10.891845366736646,0.3838936658063022,1.1582573877749232,0.0126807583661413,3.509038961839209,1.0252985083914654
66,LN308,Drug14,-2.363612413940753,0.9995654886602768,72,2.9445996519516866,10.448259678962476,-2.425733473691964,0.5637298592855836,0.3207548676320406,1.9159557690030848,0.5696778230950943
67,LN308,Drug14,-2.363612413940753,0.9995654886602768,120,1.0249703712231857,3.748248201688524,0.4888306961451799,1.1055865169444357,0.0150412088802389,3.4884442537646603,1.011976983356677
68,LN308,Drug15,-2.363612413940753,0.9995654886602768,72,3.1070255649188936,10.7791953993435,-2.4352081070929894,0.6436245386051925,0.1581388914551593,2.1801338807677397,0.6482280539473021
69,LN308,Drug15,-2.363612413940753,0.9995654886602768,120,1.908595923133561,0.0206805956345339,-3.03624799445885,2.2900585611740816e-12,0.0732072131275301,3.029857948104417,0.95939925021828
70,LN308,Drug16,-2.363612413940753,0.9995654886602768,72,3.815749227648461,0.7610434856516919,-3.036247994460932,0.1300757661372721,0.0876425786494959,0.9998871128100096,0.2981210743298689
